epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,113.152,1.32316,0.86497,1.45253,0.94253,0.94754,0.98807,0.71522,1.11555,0.81289,1.34408,0.0005941,0.0005941,0.0005941
43,115.587,1.31963,0.85965,1.45463,0.95708,0.97619,0.98921,0.72394,1.09509,0.79316,1.34403,0.0005842,0.0005842,0.0005842
44,118.061,1.26741,0.83438,1.3972,0.96273,0.98304,0.98948,0.72143,1.11452,0.77133,1.33398,0.0005743,0.0005743,0.0005743
45,120.513,1.32917,0.86665,1.42714,0.96593,0.98082,0.9868,0.68142,1.24248,0.80761,1.42027,0.0005644,0.0005644,0.0005644
46,123.065,1.3112,0.87203,1.43621,0.93935,0.95242,0.97724,0.71419,1.06848,0.78125,1.32547,0.0005545,0.0005545,0.0005545
47,125.483,1.30108,0.82785,1.37828,0.95031,0.95682,0.97542,0.69835,1.1212,0.74983,1.32947,0.0005446,0.0005446,0.0005446
48,128.237,1.31805,0.84641,1.42081,0.97476,0.92423,0.98344,0.70346,1.08616,0.78185,1.33329,0.0005347,0.0005347,0.0005347
49,130.869,1.28197,0.84055,1.40582,0.97702,0.97123,0.98891,0.73895,0.98631,0.7721,1.26024,0.0005248,0.0005248,0.0005248
50,133.442,1.27786,0.82843,1.39946,0.9599,0.96795,0.98494,0.7184,1.09296,0.75,1.28756,0.0005149,0.0005149,0.0005149
51,135.902,1.21927,0.80064,1.34429,0.96381,0.98077,0.98631,0.72814,1.09208,0.73284,1.2893,0.000505,0.000505,0.000505
52,138.374,1.24706,0.79135,1.36869,0.97209,0.98551,0.98799,0.7465,1.01645,0.70909,1.25545,0.0004951,0.0004951,0.0004951
53,141.267,1.19653,0.78224,1.33212,0.96943,0.96795,0.98782,0.74584,1.01049,0.70413,1.25742,0.0004852,0.0004852,0.0004852
54,144.916,1.22611,0.78404,1.33935,0.98385,0.95783,0.98493,0.73213,1.00553,0.72091,1.24896,0.0004753,0.0004753,0.0004753
55,148.125,1.21072,0.81393,1.34124,0.97404,0.95443,0.98453,0.73984,0.9825,0.70604,1.2282,0.0004654,0.0004654,0.0004654
56,151.164,1.24316,0.78927,1.37601,0.96685,0.96396,0.98721,0.76543,0.95304,0.66107,1.20888,0.0004555,0.0004555,0.0004555
57,154.317,1.15271,0.76169,1.30116,0.94938,0.97741,0.98725,0.75403,0.96529,0.66476,1.23039,0.0004456,0.0004456,0.0004456
58,157.154,1.1715,0.79043,1.34426,0.95459,0.97436,0.98466,0.75099,0.9644,0.66659,1.23646,0.0004357,0.0004357,0.0004357
59,159.862,1.16599,0.76059,1.31807,0.96553,0.96627,0.98445,0.76548,0.90794,0.6725,1.20313,0.0004258,0.0004258,0.0004258
60,162.434,1.14711,0.77397,1.29988,0.95959,0.98109,0.98582,0.75986,0.94069,0.66097,1.18943,0.0004159,0.0004159,0.0004159
61,164.949,1.17298,0.75109,1.31701,0.96759,0.98077,0.98673,0.75236,0.97962,0.69856,1.19643,0.000406,0.000406,0.000406
62,167.439,1.11795,0.74024,1.29823,0.96289,0.97901,0.98606,0.75535,0.93352,0.66046,1.17899,0.0003961,0.0003961,0.0003961
63,169.957,1.12004,0.7281,1.28035,0.96299,0.98077,0.98574,0.75383,0.90202,0.64373,1.17543,0.0003862,0.0003862,0.0003862
64,172.474,1.1466,0.75558,1.3206,0.9748,0.97989,0.98564,0.7465,0.96293,0.65784,1.188,0.0003763,0.0003763,0.0003763
65,174.988,1.14789,0.74431,1.29229,0.97475,0.98077,0.98604,0.76047,0.92163,0.63793,1.17932,0.0003664,0.0003664,0.0003664
66,177.546,1.0569,0.69739,1.24521,0.97074,0.96671,0.98478,0.76409,0.94546,0.64704,1.18749,0.0003565,0.0003565,0.0003565
67,180.222,1.09638,0.71079,1.28266,0.95591,0.97956,0.98525,0.7609,0.91107,0.65611,1.17618,0.0003466,0.0003466,0.0003466
68,182.777,1.09916,0.73838,1.27128,0.96443,0.9726,0.98621,0.78362,0.86753,0.66724,1.14144,0.0003367,0.0003367,0.0003367
69,185.215,1.09288,0.72001,1.26834,0.97935,0.98077,0.98741,0.78893,0.90942,0.65191,1.15585,0.0003268,0.0003268,0.0003268
70,187.753,1.10561,0.72971,1.2838,0.97609,0.98077,0.98801,0.77522,0.91258,0.63167,1.16515,0.0003169,0.0003169,0.0003169
71,190.227,1.07846,0.69669,1.24649,0.97309,0.98273,0.98747,0.77628,0.8984,0.62843,1.16057,0.000307,0.000307,0.000307
72,192.837,1.10236,0.70727,1.26927,0.97392,0.98077,0.98736,0.76427,0.92571,0.61471,1.17762,0.0002971,0.0002971,0.0002971
73,195.505,1.05062,0.70788,1.24037,0.98093,0.97893,0.98823,0.77984,0.875,0.59949,1.15756,0.0002872,0.0002872,0.0002872
74,198.672,1.06593,0.69781,1.26483,0.95927,0.97556,0.98624,0.79147,0.85592,0.61443,1.14423,0.0002773,0.0002773,0.0002773
75,201.232,1.03867,0.67842,1.2286,0.97048,0.96417,0.98491,0.79421,0.83416,0.61999,1.13535,0.0002674,0.0002674,0.0002674
76,203.714,1.05031,0.68718,1.24959,0.97408,0.96287,0.98546,0.80108,0.83707,0.61245,1.14616,0.0002575,0.0002575,0.0002575
77,206.182,1.06084,0.68525,1.23531,0.98964,0.9693,0.9872,0.78076,0.86549,0.59981,1.1626,0.0002476,0.0002476,0.0002476
78,208.675,1.06853,0.70248,1.27837,0.98176,0.97878,0.98794,0.7756,0.85947,0.59903,1.13841,0.0002377,0.0002377,0.0002377
79,211.161,1.03592,0.68066,1.20774,0.96937,0.98077,0.98793,0.7818,0.8635,0.5985,1.13512,0.0002278,0.0002278,0.0002278
80,213.649,1.01745,0.67998,1.22155,0.96139,0.98665,0.98673,0.78555,0.85947,0.60405,1.13237,0.0002179,0.0002179,0.0002179
81,216.131,1.07539,0.69439,1.24943,0.95331,0.98718,0.98651,0.79192,0.84441,0.59506,1.12458,0.000208,0.000208,0.000208
82,218.613,1.00335,0.65514,1.21784,0.97244,0.97436,0.98674,0.80025,0.81253,0.58208,1.11571,0.0001981,0.0001981,0.0001981
83,221.075,1.02566,0.67424,1.21588,0.9899,0.97213,0.98761,0.79421,0.83281,0.58558,1.12382,0.0001882,0.0001882,0.0001882
84,223.664,1.04862,0.66967,1.21917,0.98886,0.97745,0.98975,0.78692,0.82076,0.58656,1.13204,0.0001783,0.0001783,0.0001783
85,226.128,1.00492,0.67355,1.20449,0.98517,0.97436,0.99017,0.78708,0.86282,0.58572,1.14567,0.0001684,0.0001684,0.0001684
86,228.6,1.02777,0.67149,1.23059,0.98191,0.96364,0.98998,0.7943,0.81793,0.58583,1.12631,0.0001585,0.0001585,0.0001585
87,231.075,1.03514,0.67753,1.22573,0.98005,0.96154,0.98884,0.80231,0.79889,0.58421,1.11388,0.0001486,0.0001486,0.0001486
88,233.552,0.997,0.66378,1.21068,0.97658,0.97291,0.98836,0.79236,0.83358,0.57493,1.12403,0.0001387,0.0001387,0.0001387
89,236,0.9807,0.63858,1.18908,0.98406,0.97939,0.98854,0.79383,0.82149,0.5752,1.11992,0.0001288,0.0001288,0.0001288
90,238.494,0.97661,0.64422,1.19007,0.98781,0.98279,0.98872,0.80056,0.79227,0.56417,1.10368,0.0001189,0.0001189,0.0001189
91,278.364,0.88657,0.6912,1.16656,0.98783,0.97939,0.98902,0.80085,0.79811,0.56617,1.09797,0.000109,0.000109,0.000109
92,281.163,0.87615,0.65121,1.14235,0.98946,0.97911,0.98947,0.79249,0.84128,0.60813,1.11141,9.91e-05,9.91e-05,9.91e-05
93,283.644,0.88691,0.64896,1.15051,0.98959,0.98337,0.98962,0.78468,0.86628,0.64469,1.11494,8.92e-05,8.92e-05,8.92e-05
94,286.12,0.85921,0.63786,1.15967,0.99079,0.98156,0.98931,0.7945,0.8562,0.66176,1.09865,7.93e-05,7.93e-05,7.93e-05
95,288.545,0.86909,0.63578,1.14753,0.98436,0.98014,0.98889,0.79325,0.85085,0.65569,1.09021,6.94e-05,6.94e-05,6.94e-05
96,291.064,0.85755,0.61751,1.15325,0.9903,0.98077,0.98852,0.79912,0.84663,0.62529,1.08881,5.95e-05,5.95e-05,5.95e-05
97,293.559,0.83185,0.60568,1.13199,0.98772,0.9746,0.98858,0.79982,0.83043,0.60874,1.08451,4.96e-05,4.96e-05,4.96e-05
98,296.163,0.85992,0.60662,1.14008,0.97107,0.98156,0.98887,0.80415,0.80493,0.59256,1.07787,3.97e-05,3.97e-05,3.97e-05
99,298.607,0.85233,0.59556,1.15517,0.9749,0.98077,0.98901,0.80791,0.79697,0.58463,1.07582,2.98e-05,2.98e-05,2.98e-05
100,301.07,0.83946,0.59091,1.11125,0.97888,0.97537,0.98927,0.81277,0.78954,0.57708,1.07408,1.99e-05,1.99e-05,1.99e-05
